Unnamed: 0,SMILES,best_score
,COc1cc2c(cc1OC)C(=O)C(CC1(F)CCN(Cc3ccccc3)CC1)C2,-10.6
,COc1cc2c(cc1OC)C(=O)C(CC1(F)CCN(Cc3ccccc3F)CC1)C2,-10.8
,COc1cc2c(cc1OC)C(=O)C(CC1CC[N+](C)(Cc3ccccc3)CC1)C2,-11.2
,COc1cc2c(cc1OC)C(=O)[C@@H]([C@H](O)C1CC[N+](C)(Cc3ccccc3)CC1)C2,-11.5
,C[N+]1(Cc2ccccc2)CCC(CCC(=O)c2ccc3c(c2)OCO3)CC1,-10.5
,COc1cc2c(cc1OC)C(=O)C(C1CC[N+](C)(Cc3ccccc3)CC1)=C2,-10.7
,CCN(CC)Cc1ccc(C=C2Cc3cc(OC)c(OC)cc3C2=O)cc1,-10.1
,COc1cc2c(cc1OC)C(=O)C(CCCC1CCN(Cc3ccccc3)CC1)C2,-11.2
,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3cccc(C)c3)CC1)C2,-10.8
,COc1cc2c(cc1OC)C(=O)C(CC1CCN(CC3CCCCC3)CC1)C2,-10.3
,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3cccc(F)c3)CC1)C2,-11.1
,CCN(CCCCCC1Cc2cc(OC)c(OC)cc2C1=O)Cc1ccccc1OC,-10.1
,COc1cccc2c1CC(CC1CCN(Cc3ccccc3)CC1)C2=O,-10.9
,COc1cc2c(cc1OC)C(=O)/C(=C/CC1CCN(Cc3ccccc3)CC1)C2,-10.9
